Family_size,Output,Family_size_Output
1,true,70.83333333333333
1,false,29.166666666666668
2,true,78.21782178217822
2,false,21.782178217821784
3,true,79.48717948717949
3,false,20.512820512820515
4,true,85.71428571428571
4,false,14.285714285714286
5,true,74.07407407407408
5,false,25.925925925925927
6,true,62.06896551724138
6,false,37.93103448275862
