Occupation,Feedback,Percentage_of_Feedback
Student,Positive,89.85507246376811
House wife,Positive,88.88888888888889
Employee,Positive,72.03389830508475
Self Employeed,Positive,70.37037037037037
Self Employeed,Negative ,29.62962962962963
Employee,Negative ,27.966101694915253
House wife,Negative ,11.11111111111111
Student,Negative ,10.144927536231885
